|                  passKey                  |        option         |
+-------------------------------------------+-----------------------+
| pass_asan_O0                              | -fgcse                |
| pass_asan_O0                              | -fgcse-las            |
| pass_asan_O0                              | -fgcse-lm             |
| pass_asan_O0                              | -finline-functions    |
| pass_asan_O0                              | -ftree-loop-vectorize |
| pass_asan                                 | -fgcse                |
| pass_asan                                 | -fgcse-las            |
| pass_asan                                 | -fgcse-lm             |
| pass_asan                                 | -finline-functions    |
| pass_asan                                 | -ftree-loop-vectorize |
| pass_inc_dec                              | -fgcse                |
| pass_inc_dec                              | -fgcse-las            |
| pass_inc_dec                              | -fgcse-lm             |
| pass_inc_dec                              | -finline-functions    |
| pass_inc_dec                              | -ftree-loop-vectorize |
| pass_ipa_auto_profile                     | -fgcse                |
| pass_ipa_auto_profile                     | -fgcse-las            |
| pass_ipa_auto_profile                     | -fgcse-lm             |
| pass_ipa_auto_profile                     | -finline-functions    |
| pass_ipa_auto_profile                     | -ftree-loop-vectorize |
| pass_partition_blocks                     | -fgcse                |
| pass_partition_blocks                     | -fgcse-las            |
| pass_partition_blocks                     | -fgcse-lm             |
| pass_partition_blocks                     | -finline-functions    |
| pass_partition_blocks                     | -ftree-loop-vectorize |
| pass_reorder_blocks                       | -fgcse                |
| pass_reorder_blocks                       | -fgcse-las            |
| pass_reorder_blocks                       | -fgcse-lm             |
| pass_reorder_blocks                       | -finline-functions    |
| pass_reorder_blocks                       | -ftree-loop-vectorize |
| pass_branch_target_load_optimize2         | -fgcse                |
| pass_branch_target_load_optimize2         | -fgcse-las            |
| pass_branch_target_load_optimize2         | -fgcse-lm             |
| pass_branch_target_load_optimize2         | -finline-functions    |
| pass_branch_target_load_optimize2         | -ftree-loop-vectorize |
| pass_branch_target_load_optimize1         | -fgcse                |
| pass_branch_target_load_optimize1         | -fgcse-las            |
| pass_branch_target_load_optimize1         | -fgcse-lm             |
| pass_branch_target_load_optimize1         | -finline-functions    |
| pass_branch_target_load_optimize1         | -ftree-loop-vectorize |
| pass_clean_state                          | -fgcse                |
| pass_clean_state                          | -fgcse-las            |
| pass_clean_state                          | -fgcse-lm             |
| pass_clean_state                          | -finline-functions    |
| pass_clean_state                          | -ftree-loop-vectorize |
| pass_final                                | -fgcse                |
| pass_final                                | -fgcse-las            |
| pass_final                                | -fgcse-lm             |
| pass_final                                | -finline-functions    |
| pass_final                                | -ftree-loop-vectorize |
| pass_dwarf2_frame                         | -fgcse                |
| pass_dwarf2_frame                         | -fgcse-las            |
| pass_dwarf2_frame                         | -fgcse-lm             |
| pass_dwarf2_frame                         | -finline-functions    |
| pass_dwarf2_frame                         | -ftree-loop-vectorize |
| pass_shorten_branches                     | -fgcse                |
| pass_shorten_branches                     | -fgcse-las            |
| pass_shorten_branches                     | -fgcse-lm             |
| pass_shorten_branches                     | -finline-functions    |
| pass_shorten_branches                     | -ftree-loop-vectorize |
| pass_split_for_shorten_branches           | -fgcse                |
| pass_split_for_shorten_branches           | -fgcse-las            |
| pass_split_for_shorten_branches           | -fgcse-lm             |
| pass_split_for_shorten_branches           | -finline-functions    |
| pass_split_for_shorten_branches           | -ftree-loop-vectorize |
| pass_delay_slots                          | -fgcse                |
| pass_delay_slots                          | -fgcse-las            |
| pass_delay_slots                          | -fgcse-lm             |
| pass_delay_slots                          | -finline-functions    |
| pass_delay_slots                          | -ftree-loop-vectorize |
| pass_variable_tracking                    | -fgcse                |
| pass_variable_tracking                    | -fgcse-las            |
| pass_variable_tracking                    | -fgcse-lm             |
| pass_variable_tracking                    | -finline-functions    |
| pass_variable_tracking                    | -ftree-loop-vectorize |
| pass_stack_regs_run                       | -fgcse                |
| pass_stack_regs_run                       | -fgcse-las            |
| pass_stack_regs_run                       | -fgcse-lm             |
| pass_stack_regs_run                       | -finline-functions    |
| pass_stack_regs_run                       | -ftree-loop-vectorize |
| pass_split_before_regstack                | -fgcse                |
| pass_split_before_regstack                | -fgcse-las            |
| pass_split_before_regstack                | -fgcse-lm             |
| pass_split_before_regstack                | -finline-functions    |
| pass_split_before_regstack                | -ftree-loop-vectorize |
| pass_sched2                               | -fgcse                |
| pass_sched2                               | -fgcse-las            |
| pass_sched2                               | -fgcse-lm             |
