"option","visibleVarName","storageFieldName"
"-faggressive-loop-optimizations","flag_aggressive_loop_optimizations","x_flag_aggressive_loop_optimizations"
"-falign-functions","flag_align_functions","x_flag_align_functions"
"-falign-functions=","str_align_functions","x_str_align_functions"
"-falign-jumps","flag_align_jumps","x_flag_align_jumps"
"-falign-jumps=","str_align_jumps","x_str_align_jumps"
"-falign-labels","flag_align_labels","x_flag_align_labels"
"-falign-labels=","str_align_labels","x_str_align_labels"
"-falign-loops","flag_align_loops","x_flag_align_loops"
"-falign-loops=","str_align_loops","x_str_align_loops"
"-fassociative-math","flag_associative_math","x_flag_associative_math"
"-fasynchronous-unwind-tables","flag_asynchronous_unwind_tables","x_flag_asynchronous_unwind_tables"
"-fauto-inc-dec","flag_auto_inc_dec","x_flag_auto_inc_dec"
"-fbranch-count-reg","flag_branch_on_count_reg","x_flag_branch_on_count_reg"
"-fbranch-probabilities","flag_branch_probabilities","x_flag_branch_probabilities"
"-fbranch-target-load-optimize","flag_branch_target_load_optimize","x_flag_branch_target_load_optimize"
"-fbranch-target-load-optimize2","flag_branch_target_load_optimize2","x_flag_branch_target_load_optimize2"
"-fbtr-bb-exclusive","flag_btr_bb_exclusive","x_flag_btr_bb_exclusive"
"-fcode-hoisting","flag_code_hoisting","x_flag_code_hoisting"
"-fcombine-stack-adjustments","flag_combine_stack_adjustments","x_flag_combine_stack_adjustments"
"-fcompare-elim","flag_compare_elim_after_reload","x_flag_compare_elim_after_reload"
"-fconserve-stack","flag_conserve_stack","x_flag_conserve_stack"
"-fcprop-registers","flag_cprop_registers","x_flag_cprop_registers"
"-fcrossjumping","flag_crossjumping","x_flag_crossjumping"
"-fcse-follow-jumps","flag_cse_follow_jumps","x_flag_cse_follow_jumps"
"-fcx-fortran-rules","flag_cx_fortran_rules","x_flag_cx_fortran_rules"
"-fcx-limited-range","flag_cx_limited_range","x_flag_cx_limited_range"
"-fdce","flag_dce","x_flag_dce"
"-fdelayed-branch","flag_delayed_branch","x_flag_delayed_branch"
"-fdelete-dead-exceptions","flag_delete_dead_exceptions","x_flag_delete_dead_exceptions"
"-fdelete-null-pointer-checks","flag_delete_null_pointer_checks","x_flag_delete_null_pointer_checks"
"-fdevirtualize","flag_devirtualize","x_flag_devirtualize"
"-fdevirtualize-speculatively","flag_devirtualize_speculatively","x_flag_devirtualize_speculatively"
"-fdse","flag_dse","x_flag_dse"
"-fearly-inlining","flag_early_inlining","x_flag_early_inlining"
"-fexceptions","flag_exceptions","x_flag_exceptions"
"-fexpensive-optimizations","flag_expensive_optimizations","x_flag_expensive_optimizations"
"-ffinite-math-only","flag_finite_math_only","x_flag_finite_math_only"
"-ffloat-store","flag_float_store","x_flag_float_store"
"-fforward-propagate","flag_forward_propagate","x_flag_forward_propagate"
"-ffp-contract=","flag_fp_contract_mode","x_flag_fp_contract_mode"
"-ffp-int-builtin-inexact","flag_fp_int_builtin_inexact","x_flag_fp_int_builtin_inexact"
"-fgcse","flag_gcse","x_flag_gcse"
"-fgcse-after-reload","flag_gcse_after_reload","x_flag_gcse_after_reload"
"-fgcse-las","flag_gcse_las","x_flag_gcse_las"
"-fgcse-lm","flag_gcse_lm","x_flag_gcse_lm"
"-fgcse-sm","flag_gcse_sm","x_flag_gcse_sm"
"-fgraphite-identity","flag_graphite_identity","x_flag_graphite_identity"
"-fguess-branch-probability","flag_guess_branch_prob","x_flag_guess_branch_prob"
"-fhoist-adjacent-loads","flag_hoist_adjacent_loads","x_flag_hoist_adjacent_loads"
"-fif-conversion","flag_if_conversion","x_flag_if_conversion"
"-fif-conversion2","flag_if_conversion2","x_flag_if_conversion2"
"-findirect-inlining","flag_indirect_inlining","x_flag_indirect_inlining"
"-finline-atomics","flag_inline_atomics","x_flag_inline_atomics"
"-finline-functions","flag_inline_functions","x_flag_inline_functions"
"-finline-functions-called-once","flag_inline_functions_called_once","x_flag_inline_functions_called_once"
"-finline-small-functions","flag_inline_small_functions","x_flag_inline_small_functions"
"-fipa-bit-cp","flag_ipa_bit_cp","x_flag_ipa_bit_cp"
"-fipa-cp","flag_ipa_cp","x_flag_ipa_cp"
"-fipa-cp-clone","flag_ipa_cp_clone","x_flag_ipa_cp_clone"
"-fipa-icf","flag_ipa_icf","x_flag_ipa_icf"
"-fipa-icf-functions","flag_ipa_icf_functions","x_flag_ipa_icf_functions"
"-fipa-icf-variables","flag_ipa_icf_variables","x_flag_ipa_icf_variables"
"-fipa-profile","flag_ipa_profile","x_flag_ipa_profile"
"-fipa-pta","flag_ipa_pta","x_flag_ipa_pta"
"-fipa-pure-const","flag_ipa_pure_const","x_flag_ipa_pure_const"
"-fipa-ra","flag_ipa_ra","x_flag_ipa_ra"
"-fipa-reference","flag_ipa_reference","x_flag_ipa_reference"
"-fipa-reference-addressable","flag_ipa_reference_addressable","x_flag_ipa_reference_addressable"
"-fipa-sra","flag_ipa_sra","x_flag_ipa_sra"
"-fipa-stack-alignment","flag_ipa_stack_alignment","x_flag_ipa_stack_alignment"
"-fipa-vrp","flag_ipa_vrp","x_flag_ipa_vrp"
"-fira-algorithm=","flag_ira_algorithm","x_flag_ira_algorithm"
"-fira-hoist-pressure","flag_ira_hoist_pressure","x_flag_ira_hoist_pressure"
"-fira-loop-pressure","flag_ira_loop_pressure","x_flag_ira_loop_pressure"
"-fira-region=","flag_ira_region","x_flag_ira_region"
"-fira-share-save-slots","flag_ira_share_save_slots","x_flag_ira_share_save_slots"
"-fira-share-spill-slots","flag_ira_share_spill_slots","x_flag_ira_share_spill_slots"
"-fisolate-erroneous-paths-attribute","flag_isolate_erroneous_paths_attribute","x_flag_isolate_erroneous_paths_attribute"
"-fisolate-erroneous-paths-dereference","flag_isolate_erroneous_paths_dereference","x_flag_isolate_erroneous_paths_dereference"
"-fivopts","flag_ivopts","x_flag_ivopts"
"-fjump-tables","flag_jump_tables","x_flag_jump_tables"
"-fkeep-gc-roots-live","flag_keep_gc_roots_live","x_flag_keep_gc_roots_live"
"-flifetime-dse","flag_lifetime_dse,2","x_flag_lifetime_dse,2"
"-flifetime-dse=","flag_lifetime_dse","x_flag_lifetime_dse"
"-flimit-function-alignment","flag_limit_function_alignment","x_flag_limit_function_alignment"
"-flive-patching=","flag_live_patching","x_flag_live_patching"
"-flive-range-shrinkage","flag_live_range_shrinkage","x_flag_live_range_shrinkage"
"-floop-interchange","flag_loop_interchange","x_flag_loop_interchange"
"-floop-nest-optimize","flag_loop_nest_optimize","x_flag_loop_nest_optimize"
"-floop-parallelize-all","flag_loop_parallelize_all","x_flag_loop_parallelize_all"
"-floop-unroll-and-jam","flag_unroll_jam","x_flag_unroll_jam"
"-flra-remat","flag_lra_remat","x_flag_lra_remat"
"-fmath-errno","flag_errno_math","x_flag_errno_math"
"-fmodulo-sched","flag_modulo_sched","x_flag_modulo_sched"
"-fmodulo-sched-allow-regmoves","flag_modulo_sched_allow_regmoves","x_flag_modulo_sched_allow_regmoves"
"-fmove-loop-invariants","flag_move_loop_invariants","x_flag_move_loop_invariants"
"-fnon-call-exceptions","flag_non_call_exceptions","x_flag_non_call_exceptions"
"-fomit-frame-pointer","flag_omit_frame_pointer","x_flag_omit_frame_pointer"
"-fopt-info","flag_opt_info","x_flag_opt_info"
