"-fexceptions","flag_exceptions","x_flag_exceptions"
"-flto","flag_lto","x_flag_lto"
"-fsplit-stack","flag_split_stack","x_flag_split_stack"
"-fabi-version","flag_abi_version","x_flag_abi_version"
"-fdump-noaddr","flag_dump_noaddr","x_flag_dump_noaddr"
"-fpic","flag_pic","x_flag_pic"
"-fpie","flag_pie","x_flag_pie"
"-fwpa","flag_wpa","x_flag_wpa"
"-fltrans","flag_ltrans","x_flag_ltrans"
"-fsection-anchors","flag_section_anchors","x_flag_section_anchors"
"-fprofile-filter-files","flag_profile_filter_files","x_flag_profile_filter_files"
"-fprofile-exclude-files","flag_profile_exclude_files","x_flag_profile_exclude_files"
"-faccess-control","flag_access_control","x_flag_access_control"
"-faggressive-function-elimination","flag_aggressive_function_elimination","x_flag_aggressive_function_elimination"
"-faggressive-loop-optimizations","flag_aggressive_loop_optimizations","x_flag_aggressive_loop_optimizations"
"-falign-commons","flag_align_commons","x_flag_align_commons"
"-falign-functions","flag_align_functions","x_flag_align_functions"
"-falign-jumps","flag_align_jumps","x_flag_align_jumps"
"-falign-labels","flag_align_labels","x_flag_align_labels"
"-falign-loops","flag_align_loops","x_flag_align_loops"
"-fall-intrinsics","flag_all_intrinsics","x_flag_all_intrinsics"
"-fallow-leading-underscore","flag_allow_leading_underscore","x_flag_allow_leading_underscore"
"-fallow-parameterless-variadic-functions","flag_allow_parameterless_variadic_functions","x_flag_allow_parameterless_variadic_functions"
"-fassert","flag_assert","x_flag_assert"
"-fassociative-math","flag_associative_math","x_flag_associative_math"
"-fassume-phsa","flag_assume_phsa","x_flag_assume_phsa"
"-fasynchronous-unwind-tables","flag_asynchronous_unwind_tables","x_flag_asynchronous_unwind_tables"
"-fauto-inc-dec","flag_auto_inc_dec","x_flag_auto_inc_dec"
"-fauto-profile","flag_auto_profile","x_flag_auto_profile"
"-fautomatic","flag_automatic","x_flag_automatic"
"-fbackslash","flag_backslash","x_flag_backslash"
"-fbacktrace","flag_backtrace","x_flag_backtrace"
"-fbounds-check","flag_bounds_check","x_flag_bounds_check"
"-fbranch-probabilities","flag_branch_probabilities","x_flag_branch_probabilities"
"-fbranch-target-load-optimize","flag_branch_target_load_optimize","x_flag_branch_target_load_optimize"
"-fbranch-target-load-optimize2","flag_branch_target_load_optimize2","x_flag_branch_target_load_optimize2"
"-fbtr-bb-exclusive","flag_btr_bb_exclusive","x_flag_btr_bb_exclusive"
"-fbuilding-libgcc","flag_building_libgcc","x_flag_building_libgcc"
"-fbuilding-libphobos-tests","flag_building_libphobos_tests","x_flag_building_libphobos_tests"
"-fc-prototypes","flag_c_prototypes","x_flag_c_prototypes"
"-fc-prototypes-external","flag_c_prototypes_external","x_flag_c_prototypes_external"
"-fcaller-saves","flag_caller_saves","x_flag_caller_saves"
"-fcf-protection","flag_cf_protection","x_flag_cf_protection"
"-fcheck-new","flag_check_new","x_flag_check_new"
"-fchecking","flag_checking","x_flag_checking"
"-fcode-hoisting","flag_code_hoisting","x_flag_code_hoisting"
"-fcombine-stack-adjustments","flag_combine_stack_adjustments","x_flag_combine_stack_adjustments"
"-fcompare-debug","flag_compare_debug","x_flag_compare_debug"
"-fconcepts","flag_concepts","x_flag_concepts"
"-fconserve-stack","flag_conserve_stack","x_flag_conserve_stack"
"-fcprop-registers","flag_cprop_registers","x_flag_cprop_registers"
"-fcray-pointer","flag_cray_pointer","x_flag_cray_pointer"
"-fcrossjumping","flag_crossjumping","x_flag_crossjumping"
"-fcse-follow-jumps","flag_cse_follow_jumps","x_flag_cse_follow_jumps"
"-fcx-fortran-rules","flag_cx_fortran_rules","x_flag_cx_fortran_rules"
"-fcx-limited-range","flag_cx_limited_range","x_flag_cx_limited_range"
"-fdata-sections","flag_data_sections","x_flag_data_sections"
"-fdce","flag_dce","x_flag_dce"
"-fdebug-types-section","flag_debug_types_section","x_flag_debug_types_section"
"-fdec","flag_dec","x_flag_dec"
"-fdec-include","flag_dec_include","x_flag_dec_include"
"-fdec-intrinsic-ints","flag_dec_intrinsic_ints","x_flag_dec_intrinsic_ints"
"-fdec-math","flag_dec_math","x_flag_dec_math"
"-fdec-static","flag_dec_static","x_flag_dec_static"
"-fdec-structure","flag_dec_structure","x_flag_dec_structure"
"-fdeclone-ctor-dtor","flag_declone_ctor_dtor","x_flag_declone_ctor_dtor"
"-fdeduce-init-list","flag_deduce_init_list","x_flag_deduce_init_list"
"-fdefault-real-10","flag_default_real_10","x_flag_default_real_10"
"-fdefault-real-16","flag_default_real_16","x_flag_default_real_16"
"-fdefault-real-8","flag_default_real_8","x_flag_default_real_8"
"-fdefer-pop","flag_defer_pop","x_flag_defer_pop"
"-fdelayed-branch","flag_delayed_branch","x_flag_delayed_branch"
"-fdelete-dead-exceptions","flag_delete_dead_exceptions","x_flag_delete_dead_exceptions"
"-fdelete-null-pointer-checks","flag_delete_null_pointer_checks","x_flag_delete_null_pointer_checks"
"-fdevirtualize","flag_devirtualize","x_flag_devirtualize"
"-fdevirtualize-speculatively","flag_devirtualize_speculatively","x_flag_devirtualize_speculatively"
"-fdiagnostics-generate-patch","flag_diagnostics_generate_patch","x_flag_diagnostics_generate_patch"
"-fdiagnostics-parseable-fixits","flag_diagnostics_parseable_fixits","x_flag_diagnostics_parseable_fixits"
"-fdiagnostics-show-caret","flag_diagnostics_show_caret","x_flag_diagnostics_show_caret"
"-fdiagnostics-show-labels","flag_diagnostics_show_labels","x_flag_diagnostics_show_labels"
"-fdiagnostics-show-line-numbers","flag_diagnostics_show_line_numbers","x_flag_diagnostics_show_line_numbers"
"-fdiagnostics-show-option","flag_diagnostics_show_option","x_flag_diagnostics_show_option"
"-fdiagnostics-show-template-tree","flag_diagnostics_show_template_tree","x_flag_diagnostics_show_template_tree"
"-fdollar-ok","flag_dollar_ok","x_flag_dollar_ok"
"-fdse","flag_dse","x_flag_dse"
"-fdump-ada-spec","flag_dump_ada_spec","x_flag_dump_ada_spec"
